CODE ID;NOM DE LA MAISON;ADRESSE;CODE POSTAL;VILLE;DEPARTEMENT;REGION;PAYS;DESCRIPTIF;PROPRIETE /GESTION;Voir le programme;Site web;Facebook;Twitter;Instagram;Dailymotion;TAG Année de labellisation;TAG maison-des-illustres;TAG monument-historique;TAG tourisme-et-handicap;TAG musee-de-france;TAG architecture-contemporaine-remarquable;TAG patrimoine-mondial-de-lunesco;TAG jardin-remarquable;TAG patrimoine industriel;TAG litterature-et-idees;TAG arts-et-architecture;TAG sciences-et-industrie;TAG musique-theatre-et-cinema;TAG histoire-et-politique;geolocalisation
APN00_52_MI123;Maison natale du Maréchal de Lattre de Tassigny;1 rue Plante-Choux;85390;Mouilleron-Saint-Germain;Vendée;Pays de la Loire;France;Jean-Marie de Lattre de Tassigny (1889-1952) a été élevé à la dignité de maréchal de France le 15 janvier 1952. Cette reconnaissance de l'Etat couronne une brillante carrière militaire. Jeune capitaine en 1918, il est promu général d'armée par Charles de Gaulle en 1943 à l'âge de cinquante ans. Commandant de l'armée B (future 1ère armée), il débarque en Provence le 16 août 1944, prend Toulon et Marseille, libère l'Alsace, franchit le Rhin et entre en Autriche jusqu'au Danube. Il représente la France à la capitulation de l'Allemagne à Berlin, le 8 mai 1945. Commandant en chef des armées de terre de l'Europe occidentale en 1948, il est nommé haut-commissaire en Extrême-Orient en décembre 1950. Comme Georges Clemenceau, il est né à Mouilleron-en-Pareds, dans la maison de ses grands-parents maternels où vivaient ses parents. Il y passe son enfance avant de partir pour le collège, à neuf ans, et y retourne toute sa vie. La maison bourgeoise du XIXe siècle a conservé tout son mobilier et ses décors intérieurs, son jardin d'agrément au magnolia centenaire et un potager. Une présentation bilingue permet de situer le rôle de Jean de Lattre dans l'histoire politique et militaire du XXe siècle.;Musée national, la maison natale du Maréchal de Lattre de Tassigny et le mémorial Clémenceau-de Lattre sont réunis au sein du Musée des Deux-Victoires.;;;https://www.facebook.com/Musee.Clemenceau.deLattre/;https://twitter.com/musclem2lattre/media;;;labellisee-en-2011;maison-des-illustres;;;musee-de-france;;;;;;;;;histoire-et-politique;46.675283,-0.849535
APN00_52_MI212;Maison natale de Clemenceau;1 rue Plante-Choux;85390;Mouilleron-Saint-Germain;Vendée;Pays de la Loire;France;"Georges Clemenceau (1841-1929) a marqué cinquante ans de la vie politique française, de la Commune à la Première Guerre mondiale : maire de Montmartre, député, sénateur, ministre de l’Intérieur, puis ministre de la Guerre et président du Conseil, il est l’artisan de la victoire de 1918, qui lui valut son surnom de « Père la Victoire ». Républicain de combat, il est aussi médecin, journaliste, écrivain, défenseur de l’art. Il est né dans la maison de son grand-père, républicain, protestant, maire de Mouilleron (1832-1834), où ses parents vivaient depuis leur mariage. Clemenceau y reviendra toute sa vie. Ses souvenirs d’enfance inspireront des nouvelles de ""Figures de Vendée"". Le musée présente Clémenceau dans ses multiples facettes en faisant appel aux nouvelles technologies. « Le Musée du soir » propose une programmation culturelle et régulière. Ce musée historique et civique s'inscrit en complémentarité de l'appartement parisien de Clemenceau et de la maison de Saint-Vincent-sur-Jard, lieux de vie conservés en état.";Ministère de la Culture   Musée national;;;https://www.facebook.com/Musee.Clemenceau.deLattre/;https://twitter.com/musclem2lattre/media;;;labellisee-en-2016;maison-des-illustres;;;musee-de-france;;;;;;;;;histoire-et-politique;46.675283,-0.849535
APN00_27_MI030;Musée d'Art et d'Histoire Romain Rolland;Avenue de la République;58500;Clamecy;Nièvre;Bourgogne – Franche-Comté;France;"Romain Rolland (1866-1944) est un écrivain français, Prix Nobel de littérature de 1915. Agrégé d’histoire et docteur ès lettres, il enseigne à l’Ecole Normale et à la Sorbonne avant de se consacrer au théâtre et à la littérature. Il devient célèbre grâce à ""Jean-Christophe"", roman en dix volumes parus entre 1904 et 1912. Très critique envers les deux camps des belligérants pendant la Grande Guerre, il est dans l’entre-deux-guerres une figure du mouvement pacifiste international, de la lutte antifasciste et du Front populaire.  La maison natale de Romain Rolland constitue l'un des espaces du musée de Clamecy. Celui-ci est installé en effet dans quatre bâtiments : l'hôtel du duc de Bellegarde datant du XVIIe siècle, la maison natale de Romain Rolland, celle de son grand-père maternel et une extension contemporaine.";Propriété de la commune de Clamecy.;;www.clamecy.fr;;;;;labellisee-en-2011;maison-des-illustres;;;musee-de-france;;;;;litterature-et-idees;;;;;47.459451,3.520775
APN00_84_MI019;Manoir des Deux Mondes;Château-musée Lafayette;43230;Paulhaguet;Haute-Loire;Auvergne-Rhône-Alpes;France;Marie Joseph Paul Yves Roch Gilbert du Motier, plus connu sous le nom de Marquis de Lafayette (1757-1834), est un général et un homme politique. Acteur de la guerre d’indépendance américaine et de la Révolution française, il est également le porte-étendard général de la révolution de 1830. Passionné par les idées des philosophes des Lumières, fidèle à son idéal de liberté et à ses convictions, il décide de s’engager en 1777 auprès de la jeune nation américaine et participe aux combats qui mènent à la capitulation des Anglais à Yorktown en 1781. Revenu en France en 1782, La Fayette est considéré comme le héros des deux mondes. Au lendemain de la prise de la Bastille, il est nommé commandant de la garde nationale et fait adopter la cocarde tricolore. Partisan d’une monarchie constitutionnelle, promoteur d'une révolution bourgeoise, protecteur du roi, il devient l'un des personnages les plus populaires de France, mais aussi les plus controversés.  Surnommé le «manoir des Deux Mondes» en hommage à l'amitié franco-américaine, le château-musée est la demeure natale du général marquis.;Propriété du département de la Haute-Loire.;;http://www.chateau-lafayette.com/Qui-sommes-nous.html;;;;;labellisee-en-2011;maison-des-illustres;monument-historique;;;;;;;;;;;histoire-et-politique;45.20634,3.515173
APN00_11_MI080;Appartement-atelier Le Corbusier - Immeuble Molitor;24 rue Nungesser et Coli;75016;Paris;;Île-de-France;France;Architecte, urbaniste, peintre et écrivain, Charles-Édouard Jeanneret-Gris, dit Le Corbusier (1887-1965), est l’un des principaux représentants du mouvement moderne. Il conçoit et applique la théorie du Modulor en réalisant des constructions à l’architecture fonctionnaliste et poétique où les qualités plastiques du béton sont mises en valeur. Il a aménagé son appartement aux deux derniers niveaux de l’immeuble Molitor, qu’il a conçu entre 1931 et 1934 avec Pierre Jeanneret, son cousin et proche collaborateur. Alliant l’usage du verre, du béton et du métal, l’immeuble surprend encore par sa modernité. Il a permis à l’architecte d’expérimenter ses théories qu’il concrétise avec la Cité radieuse à Marseille en 1952. L’œuvre de Le Corbusier a été inscrite au patrimoine mondial de l’Unesco en 2016.   L’appartement que Le Corbusier occupa de 1934 jusqu’à son décès, en 1965, fut aussi son atelier de peinture, activité qu’il a pratiquée quotidiennement sa vie durant.;Propriété de la Fondation Le Corbusier.;;http://www.fondationlecorbusier.fr;https://www.facebook.com/pages/Appartement-Atelier-De-Le-Corbusier/375271092548437;https://twitter.com/fondationlecorb;;;labellisee-en-2011;maison-des-illustres;monument-historique;;;architecture-contemporaine-remarquable;patrimoine-mondial-de-lunesco;;;;arts-et-architecture;;;;48.845303,2.252635
APN00_28_MI062;Le Clos Lupin;14 rue Guy-de-Maupassant;76790;Étretat;Seine-Maritime;Normandie;France;"Né à Rouen, Maurice Leblanc (1864-1941) se destine tôt à une carrière littéraire. Il fréquente Etretat à une époque où cette station à la mode est lepoint de rencontre à une époque où cette station à la mode est le point de rencontre de nombreuses personnalités. Il accède à la notoriété à partir de 1905 grâce à la première des vingt aventures d'Arsène Lupin, une série fondatrice du roman policier. Ses épisodes les plus connus, tel ""l'Aiguille creuse"", se déroulent à Etretat ou dans les environs. La maison que l'écrivain acquiert prend le nom de son personnage, à l'image de la place qu'il occupe dans sa vie, éclipsant sa réputation de nouvelliste, dramaturge et romancier. Dans les espaces scénographiques et interactifs de la villa, on découvre l'auteur et son gentleman cambrioleur.";Propriété de la ville d'Etretat.;;;;;;;labellisee-en-2012;maison-des-illustres;;;musee-de-france;;;;;litterature-et-idees;;;;;49.706448,0.20618
APN00_53_MI216;Domaine de Rosmapamon, Maison d'Ernest Renan;Louannec;22700;Perros-Guirrec;Côtes-d'Armor;Bretagne;France;"Après quarante ans passés hors de Bretagne, Ernest Renan (1823-1892) revient à Tréguier en 1884 et décide de louer une maison à Rosmapamon où il séjournera pendant ses vacances d'été durant huit ans. Cette vie hors du pays natal s'explique par le scandale causé par son livre ""Vie de Jésus"", qui fait de Jésus un homme incomparable et lui attire les foudres de l'Eglise catholique. Il y composera, entre autres œuvres, l' ""Histoire du peuple d'Israël"", dont les tomes IV et V paraîtront après sa mort. Cette maison, construite sous le Second Empire par M.Vauquelin, est située au milieu du parc arboré de deux hectares et demi. Elle comprend trois étages : au rez-de-chaussée, huit portes-fenêtres demi-cintrées illuminent salon et salle à manger. Hauts plafonds, cheminées de marbre, boiseries, parquets en châtaignier donnent une atmosphère unique à ce lieu.";Propriété privée.;;;;;;;labellisee-en-2017;maison-des-illustres;;;;;;;;litterature-et-idees;;;;;48.802621,-3.476524
APN00_01_MI163;Villa Souques-Pagès;9 rue de Nozière;97110;Pointe-à-Pitre;;Guadeloupe;France;"Descendant d'une vieille et riche famille de blancs créoles, Alexis Leger, dit Saint-John Perse (1887-1975), est né et a vécu en Guadeloupe jusqu’à sa douzième année. Il la quitte en 1899 pour Pau et vit ce départ définitif comme un véritable exil. Chef du cabinet d’Aristide Briand dès 1925, Alexis Leger assure de 1932 à 1940 la continuité de la diplomatie française au poste de secrétaire général du ministère des Affaires étrangères. Se partageant entre les Etats-Unis et la France, il se consacre par la suite à sa vocation littéraire et s'impose comme l’un des grands poètes français avec la publication d' ""Eloges"", ""Anabase"", ""Exil"", ""Amers"" qui lui vaudront le prix Nobel de littérature en 1960. La villa Souques-Pagès, autrefois propriété d’un grand patron de sucrerie située dans le centre historique de la ville de Pointe-à-Pitre, est une demeure au style colonial, dont l’architecture évoque celle de La Nouvelle-Orléans. Le musée, qui mêle l'évocation d'un intérieur bourgeois créole du début du XXe siècle au souvenir du poète, a été inauguré en 1987, lors du centenaire de la naissance de Saint John-Perse.";Propriété de la Ville de Pointe-à-Pitre.  Gestion : Association des Amis du musée Saint-John Perse.;;;https://www.facebook.com/musee.saintjohnperse;;;;labellisee-en-2011;maison-des-illustres;monument-historique;;musee-de-france;;;;;litterature-et-idees;;;;;16.236416,-61.535945
APN00_02_MI169;Habitation Clément;;97240;Le-François;;Martinique;France;Homère Clément (1852-1923) incarne la figure du mulâtre qui accède aux responsabilités politiques, économiques et sociales dans la Martinique de la fin du XIXe siècle, au moment où s’installe la IIIe République. Après des études de médecine en France et son retour en Martinique, il entreprend une carrière politique. Il est maire du François en 1886, président du conseil général et député de la Martinique de 1902 à 1906. Il est fait chevalier de la Légion d’Honneur le 28 août 1898.  En 1887, le docteur Clément achète l’habitation Acajou en faillite. Il s’installe dans la maison principale et devient planteur de canne à sucre. En 1917, il construit une distillerie sur les ruines de l’ancienne sucrerie pour répondre à la forte demande de rhum pendant la Première Guerre mondiale. Son fils Charles développe la production à l'échelle internationale après la mort de son père, en 1923.;Propriété privée.;;http://www.fondation-clement.org/;https://www.facebook.com/HabitationClement/ https://www.facebook.com/fondationclement/;;;;labellisee-en-2011;maison-des-illustres;monument-historique;;;;;jardin-remarquable;;;;sciences-et-industrie;;;14.609941,-60.899183
APN00_76_MI099;Musée-maison natale du Maréchal Joffre;11 rue du Maréchal-Joffre;66600;Rivesaltes;Pyrénées-Orientales;Occitanie;France;Né à Rivesaltes, Joseph Joffre, maréchal de France (1852-1931), se distingue d’abord par une carrière coloniale en Extrême-Orient, à Formose, au Tonkin, en Afrique, à Tombouctou et à Madagascar. Généralissime de l’armée française au déclenchement de la Grande Guerre, il remporte la fameuse «victoire de la Marne», qui sauve Paris et la France (6 et 11 septembre 1914). Jusqu’en 1916, il se maintient au sommet de l’exécutif militaire, puis est remplacé par le général Nivelle. En 1917, il effectue une mission aux États-Unis pour préparer l’entrée en guerre de ce pays et y reçoit un accueil triomphal. Après la guerre, il revient en France et se retranche pour rédiger ses mémoires. La maison de Rivesaltes est sa maison natale et celle où il passa son enfance. Le visiteur découvre notamment le cabinet de travail meublé du maréchal avec ses éléments originaux. La chambre natale et la cuisine ont été également reconstituées.;Propriété de la Ville de Rivesaltes.;;;;;;;labellisee-en-2011;maison-des-illustres;monument-historique;;;;;;;;;;;histoire-et-politique;42.770036,2.873977
APN00_28_MI023;Musée Barbey d'Aurevilly;64 rue Bottin-Desylles;50390;Saint-Sauveur-le-Vicomte;Manche;Normandie;France;"Jules Barbey d’Aurevilly (1808-1889) est souvent considéré comme un écrivain régionaliste. Il frappe ses contemporains par ses talents de critique littéraire, de romancier, de poète, de journaliste et de polémiste virulent. Admirateur de lord Byron et dandy impénitent, surnommé à la fin de sa vie le «Connétable des Lettres», il a produit une oeuvre mêlant symbolisme, romantisme et fantastique. Ses romans et nouvelles, notamment ""Les Diaboliques"", son oeuvre la plus connue, ont fortement marqué les écrivains des générations suivantes. Situé depuis 1989 dans la maison familiale de l'écrivain, le musée a vu le jour grâce à Louise Read, sa secrétaire, qui donna les manuscrits et souvenirs de Jules Barbey d'Aurevilly à la ville de Valognes.";Gestion : Commune de Saint-Sauveur-le-Vicomte.;;;https://www.facebook.com/pages/Mus%C3%A9e-Barbey-dAurevilly/384998108313571;;;;labellisee-en-2011;maison-des-illustres;;;musee-de-france;;;;;litterature-et-idees;;;;;49.384547,-1.532819
