ID_merimeeLabel,item,itemLabel,itemDescription,proprietaireLabel,occupantLabel,naissance_dedansLabel,img,coordonnées,paysLabel,type_maison,type_maisonLabel
MI171,http://www.wikidata.org/entity/Q125814,château de Germolles,château fort français,Marguerite III de Flandre,,,http://commons.wikimedia.org/wiki/Special:FilePath/Vue%20a%C3%A9rienne%20de%20Germolles.jpg,,France,http://www.wikidata.org/entity/Q23413,château fort
PA00113354,http://www.wikidata.org/entity/Q125814,château de Germolles,château fort français,Marguerite III de Flandre,,,http://commons.wikimedia.org/wiki/Special:FilePath/Vue%20a%C3%A9rienne%20de%20Germolles.jpg,,France,http://www.wikidata.org/entity/Q23413,château fort
MI079,http://www.wikidata.org/entity/Q547789,maison de Balzac,musée dédié à la mémoire d'Honoré de Balzac,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Maison%20de%20Balzac%2C%20Paris%2016e%205.jpg,,France,http://www.wikidata.org/entity/Q33506,musée
PA00086709,http://www.wikidata.org/entity/Q547789,maison de Balzac,musée dédié à la mémoire d'Honoré de Balzac,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Maison%20de%20Balzac%2C%20Paris%2016e%205.jpg,,France,http://www.wikidata.org/entity/Q33506,musée
MI179,http://www.wikidata.org/entity/Q589336,musée Curie,musée français,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Pavillon%20Pasteur.jpg,,France,http://www.wikidata.org/entity/Q33506,musée
MI169,http://www.wikidata.org/entity/Q748956,habitation Clément,habitation coloniale,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Habitation%20Cl%C3%A9ment%20001.jpg,,France,http://www.wikidata.org/entity/Q16641077,habitation agricole des Antilles et de Guyane
PA00105971,http://www.wikidata.org/entity/Q748956,habitation Clément,habitation coloniale,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Habitation%20Cl%C3%A9ment%20001.jpg,,France,http://www.wikidata.org/entity/Q16641077,habitation agricole des Antilles et de Guyane
MI140,http://www.wikidata.org/entity/Q754053,musée-atelier de Paul Cézanne,musée d'Aix-en-Provence,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Aix-Atelier%20C%C3%A9zanne-bjs180816-05.jpg,,France,http://www.wikidata.org/entity/Q2072285,atelier d'artiste
PA00081100,http://www.wikidata.org/entity/Q754053,musée-atelier de Paul Cézanne,musée d'Aix-en-Provence,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Aix-Atelier%20C%C3%A9zanne-bjs180816-05.jpg,,France,http://www.wikidata.org/entity/Q2072285,atelier d'artiste
MI140,http://www.wikidata.org/entity/Q754053,musée-atelier de Paul Cézanne,musée d'Aix-en-Provence,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Aix-Atelier%20C%C3%A9zanne-bjs180816-05.jpg,,France,http://www.wikidata.org/entity/Q33506,musée
